name,position,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.ev,assist1.ev,assist2.ev,points.ev,gfev,gaev,gfpp,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.GA,team.GA.EV,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,pos.clean,BD.Mod,birth.year,draft.end,draft.year,draft.season,draft.eligible
"Paquette-Bisson, Tobie",D,"Blainville-Boisbriand, Armada",1997-02-01,59,71,4,13,10,27,0,2,3,5,4,10,6,20,65,34,15,2017-18 | Regular Season,62,96,1734,1734,273,251,195,719,232,150,75,75,70,220,170,158,119,447,D,1997-02-01,1997,1997-09-15,2015,2018,N
"Roy, Hugo",C,"Sherbrooke, Phoenix",1997-08-08,64,146,21,16,10,47,6,7,4,17,13,8,6,27,46,49,32,2017-18 | Regular Season,91,83,1734,1734,228,209,165,602,219,154,58,56,54,168,156,146,109,411,F,1997-08-08,1997,1997-09-15,2015,2018,N
"Mongo, Yvan",C,"Drummondville, Voltigeurs",1997-03-11,58,170,18,20,9,47,2,1,4,7,14,17,5,36,61,33,13,2017-18 | Regular Season,63,81,1734,1734,274,253,203,730,247,166,62,61,58,181,192,180,139,511,F,1997-03-11,1997,1997-09-15,2015,2018,N
"Roy, Charlie",D,"Blainville-Boisbriand, Armada",1997-06-10,5,6,0,1,1,2,0,0,0,0,0,1,1,2,4,4,0,2017-18 | Regular Season,10,6,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,D,1997-06-10,1997,1997-09-15,2015,2018,N
"Boucher, Matthew",LW,"Québec, Remparts",1997-12-17,66,280,31,22,15,68,14,6,7,27,12,13,7,32,41,41,41,2017-18 | Regular Season,71,91,1734,1734,225,208,164,597,190,124,66,65,61,192,142,132,96,370,F,1997-12-17,1997,1997-09-15,2016,2018,N
"Lalonde, Bradley",D,"Baie-Comeau, Drakkar",1997-08-01,60,203,13,26,18,57,6,19,9,34,6,7,8,21,60,63,42,2017-18 | Regular Season,102,109,1734,1734,219,205,166,590,234,156,61,60,56,177,146,136,107,389,D,1997-08-01,1997,1997-09-15,2015,2018,N
"Blier, Samuel",LW,"Shawinigan, Cataractes",1997-06-13,57,96,11,7,7,25,2,3,2,7,8,3,5,16,19,48,15,2017-18 | Regular Season,89,38,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,F,1997-06-13,1997,1997-09-15,2015,2018,N
"Askew, Cameron",RW,"Charlottetown, Islanders",1997-05-13,63,197,19,9,10,38,6,2,4,12,13,6,6,25,38,46,15,2017-18 | Regular Season,72,57,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,F,1997-05-13,1997,1997-09-15,2015,2018,N
"Barré-Boulet, Alex",C,"Blainville-Boisbriand, Armada",1997-05-21,65,295,53,37,26,116,19,16,14,49,27,17,12,56,68,43,62,2017-18 | Regular Season,62,142,1734,1734,273,251,195,719,232,150,75,75,70,220,170,158,119,447,F,1997-05-21,1997,1997-09-15,2015,2018,N
"Alain, Alexandre",RW,"Blainville-Boisbriand, Armada",1997-03-03,65,251,44,23,20,87,21,5,9,35,22,17,8,47,62,36,60,2017-18 | Regular Season,61,131,1734,1734,273,251,195,719,232,150,75,75,70,220,170,158,119,447,F,1997-03-03,1997,1997-09-15,2015,2018,N
