Season,Name,Position,Draft.Eligible,Team,Birth Date,GP,EVG,EVA1,EVA2,EVPTS,Team.EVPTS,OI.EVGF,OI.EVGA,EVGF.PERC,TEAM.EVGF.PERC,EVGF.PERC.REL,PRIMARY.EVPTS,TEAM.PRIMARY.EVPTS,PERC.TEAM.EVPrPTS,IPP.EV,IPPP.EV
2017-18 | Regular Season,"Paquette-Bisson, Tobie",D,N,"Blainville-Boisbriand, Armada",1997-02-01,59,4,10,6,20,447,65,34,0.66,0.53,0.13,14,328,0.04,0.31,0.22
2017-18 | Regular Season,"Roy, Hugo",F,N,"Sherbrooke, Phoenix",1997-08-08,64,13,8,6,27,411,46,49,0.48,0.5,-0.02,21,302,0.07,0.59,0.46
2017-18 | Regular Season,"Mongo, Yvan",F,N,"Drummondville, Voltigeurs",1997-03-11,58,14,17,5,36,511,61,33,0.65,0.54,0.11,31,372,0.08,0.59,0.51
2017-18 | Regular Season,"Roy, Charlie",D,N,"Blainville-Boisbriand, Armada",1997-06-10,5,0,1,1,2,343,4,4,0.5,0.47,0.03,1,250,0,0.5,0.25
2017-18 | Regular Season,"Boucher, Matthew",F,N,"Québec, Remparts",1997-12-17,66,12,13,7,32,370,41,41,0.5,0.53,-0.03,25,274,0.09,0.78,0.61
2017-18 | Regular Season,"Lalonde, Bradley",D,N,"Baie-Comeau, Drakkar",1997-08-01,60,6,7,8,21,389,60,63,0.49,0.48,0.01,13,282,0.05,0.35,0.22
2017-18 | Regular Season,"Blier, Samuel",F,N,"Shawinigan, Cataractes",1997-06-13,57,8,3,5,16,343,19,48,0.28,0.47,-0.19,11,250,0.04,0.84,0.58
2017-18 | Regular Season,"Askew, Cameron",F,N,"Charlottetown, Islanders",1997-05-13,63,13,6,6,25,343,38,46,0.45,0.47,-0.02,19,250,0.08,0.66,0.5
2017-18 | Regular Season,"Barré-Boulet, Alex",F,N,"Blainville-Boisbriand, Armada",1997-05-21,65,27,17,12,56,447,68,43,0.61,0.53,0.08,44,328,0.13,0.82,0.65
2017-18 | Regular Season,"Alain, Alexandre",F,N,"Blainville-Boisbriand, Armada",1997-03-03,65,22,17,8,47,447,62,36,0.63,0.53,0.1,39,328,0.12,0.76,0.63
2017-18 | Regular Season,"Aquin, Pascal",F,N,"Charlottetown, Islanders",1997-07-03,59,8,11,5,24,365,38,30,0.56,0.51,0.05,19,272,0.07,0.63,0.5
2017-18 | Regular Season,"Fortier, Maxime",F,N,"Halifax, Mooseheads",1997-12-15,61,19,20,8,47,504,60,42,0.59,0.51,0.08,39,370,0.11,0.78,0.65
2017-18 | Regular Season,"Ford, Taylor",D,N,"Rouyn-Noranda, Huskies",1997-05-14,46,2,2,4,8,366,35,22,0.61,0.51,0.1,4,268,0.01,0.23,0.11
2017-18 | Regular Season,"Moynihan, Connor",F,N,"Halifax, Mooseheads",1997-07-20,66,16,7,12,35,504,50,34,0.6,0.51,0.09,23,370,0.06,0.7,0.46
2017-18 | Regular Season,"Holwell, Adam",D,N,"Acadie-Bathurst, Titan",1997-03-08,67,8,11,9,28,480,77,44,0.64,0.53,0.11,19,345,0.06,0.36,0.25
2017-18 | Regular Season,"Bower, William",F,N,"Charlottetown, Islanders",1997-11-07,8,0,0,0,0,365,1,2,0.33,0.51,-0.18,0,272,0,0,0
2017-18 | Regular Season,"Olivier, Mathieu",F,N,"Sherbrooke, Phoenix",1997-02-11,67,15,9,7,31,411,44,25,0.64,0.5,0.14,24,302,0.08,0.7,0.55
2017-18 | Regular Season,"Cormier, Lane",F,N,"Rouyn-Noranda, Huskies",1997-02-11,5,0,0,0,0,366,1,0,1,0.51,0.49,0,268,0,0,0
2017-18 | Regular Season,"Lanoue, Vincent",D,N,"Victoriaville, Tigres",1997-08-17,66,4,8,10,22,492,70,52,0.57,0.54,0.03,12,352,0.03,0.31,0.17
2017-18 | Regular Season,"Picco, Andrew",D,N,"Québec, Remparts",1997-04-02,56,1,3,5,9,370,38,37,0.51,0.53,-0.02,4,274,0.01,0.24,0.11
2017-18 | Regular Season,"Thompson, Will",D,N,"Gatineau, Olympiques",1997-07-02,60,1,8,4,13,366,45,37,0.55,0.51,0.04,9,268,0.03,0.29,0.2
2017-18 | Regular Season,"Dove-McFalls, Samuel",F,N,"Rimouski, Océanic",1997-04-10,64,18,21,9,48,434,67,35,0.66,0.53,0.13,39,312,0.12,0.72,0.58
2017-18 | Regular Season,"Webster, Bailey",D,N,"Saint John, Sea Dogs",1997-09-08,67,1,5,5,11,316,45,70,0.39,0.42,-0.03,6,235,0.03,0.24,0.13
2017-18 | Regular Season,"Phelan, James",F,N,"Moncton, Wildcats",1997-02-18,64,11,15,8,34,390,41,52,0.44,0.48,-0.04,26,281,0.09,0.83,0.63
2017-18 | Regular Season,"Welsh, Nicholas",D,N,"Moncton, Wildcats",1997-05-07,68,3,20,10,33,390,65,69,0.49,0.48,0.01,23,281,0.08,0.51,0.35
2017-18 | Regular Season,"Harwell, Chase",F,N,"Victoriaville, Tigres",1997-01-11,67,16,4,12,32,492,39,45,0.46,0.54,-0.08,20,352,0.06,0.82,0.51
