Season,Name,Position,Draft.Eligible,Team,Birth Date,GP,PPG,PPA1,PPA2,PPPTS,PRIMARY.PPPTS,PERC.PPPTS,PERC.TEAM.PPPTS
2017-18 | Regular Season,"Paquette-Bisson, Tobie",D,N,"Blainville-Boisbriand, Armada",1997-02-01,59,0,2,3,5,2,0.19,0.02
2017-18 | Regular Season,"Roy, Hugo",F,N,"Sherbrooke, Phoenix",1997-08-08,64,6,7,4,17,13,0.36,0.1
2017-18 | Regular Season,"Mongo, Yvan",F,N,"Drummondville, Voltigeurs",1997-03-11,58,2,1,4,7,3,0.15,0.04
2017-18 | Regular Season,"Roy, Charlie",D,N,"Blainville-Boisbriand, Armada",1997-06-10,5,0,0,0,0,0,0,0
2017-18 | Regular Season,"Boucher, Matthew",F,N,"Québec, Remparts",1997-12-17,66,14,6,7,27,20,0.4,0.14
2017-18 | Regular Season,"Lalonde, Bradley",D,N,"Baie-Comeau, Drakkar",1997-08-01,60,6,19,9,34,25,0.6,0.19
2017-18 | Regular Season,"Blier, Samuel",F,N,"Shawinigan, Cataractes",1997-06-13,57,2,3,2,7,5,0.28,0.05
2017-18 | Regular Season,"Askew, Cameron",F,N,"Charlottetown, Islanders",1997-05-13,63,6,2,4,12,8,0.32,0.09
2017-18 | Regular Season,"Barré-Boulet, Alex",F,N,"Blainville-Boisbriand, Armada",1997-05-21,65,19,16,14,49,35,0.42,0.22
2017-18 | Regular Season,"Alain, Alexandre",F,N,"Blainville-Boisbriand, Armada",1997-03-03,65,21,5,9,35,26,0.4,0.16
2017-18 | Regular Season,"Aquin, Pascal",F,N,"Charlottetown, Islanders",1997-07-03,59,7,1,0,8,8,0.19,0.06
2017-18 | Regular Season,"Fortier, Maxime",F,N,"Halifax, Mooseheads",1997-12-15,61,6,8,2,16,14,0.21,0.1
2017-18 | Regular Season,"Ford, Taylor",D,N,"Rouyn-Noranda, Huskies",1997-05-14,46,0,0,1,1,0,0.09,0
2017-18 | Regular Season,"Moynihan, Connor",F,N,"Halifax, Mooseheads",1997-07-20,66,4,0,2,6,4,0.14,0.04
2017-18 | Regular Season,"Holwell, Adam",D,N,"Acadie-Bathurst, Titan",1997-03-08,67,2,13,5,20,15,0.4,0.09
2017-18 | Regular Season,"Bower, William",F,N,"Charlottetown, Islanders",1997-11-07,8,1,0,0,1,1,1,0.01
2017-18 | Regular Season,"Olivier, Mathieu",F,N,"Sherbrooke, Phoenix",1997-02-11,67,8,3,2,13,11,0.27,0.08
