Season,Name,Position,Draft.Eligible,Team,Birth Date,GP,G,A1,A2,PTS,PRIMARY.PTS,PERC.TEAM.PTS,PERC.TEAM.PrPTS,Shots,Team.Shots,SH.PERC,PERC.TEAM.SHOTS
2017-18 | Regular Season,"Paquette-Bisson, Tobie",D,N,"Blainville-Boisbriand, Armada",1997-02-01,59,4,13,10,27,17,0.04,0.03,71,1734,0.06,0.04
2017-18 | Regular Season,"Roy, Hugo",F,N,"Sherbrooke, Phoenix",1997-08-08,64,21,16,10,47,37,0.08,0.08,146,1734,0.14,0.08
2017-18 | Regular Season,"Mongo, Yvan",F,N,"Drummondville, Voltigeurs",1997-03-11,58,18,20,9,47,38,0.06,0.07,170,1734,0.11,0.1
2017-18 | Regular Season,"Roy, Charlie",D,N,"Blainville-Boisbriand, Armada",1997-06-10,5,0,1,1,2,1,0,0,6,1734,0,0
2017-18 | Regular Season,"Boucher, Matthew",F,N,"Québec, Remparts",1997-12-17,66,31,22,15,68,53,0.11,0.12,280,1734,0.11,0.16
2017-18 | Regular Season,"Lalonde, Bradley",D,N,"Baie-Comeau, Drakkar",1997-08-01,60,13,26,18,57,39,0.1,0.09,203,1734,0.06,0.12
2017-18 | Regular Season,"Blier, Samuel",F,N,"Shawinigan, Cataractes",1997-06-13,57,11,7,7,25,18,0.05,0.05,96,1734,0.11,0.06
2017-18 | Regular Season,"Askew, Cameron",F,N,"Charlottetown, Islanders",1997-05-13,63,19,9,10,38,28,0.08,0.08,197,1734,0.1,0.11
2017-18 | Regular Season,"Barré-Boulet, Alex",F,N,"Blainville-Boisbriand, Armada",1997-05-21,65,53,37,26,116,90,0.16,0.17,295,1734,0.18,0.17
2017-18 | Regular Season,"Alain, Alexandre",F,N,"Blainville-Boisbriand, Armada",1997-03-03,65,44,23,20,87,67,0.12,0.13,251,1734,0.18,0.14
2017-18 | Regular Season,"Aquin, Pascal",F,N,"Charlottetown, Islanders",1997-07-03,59,24,14,5,43,38,0.08,0.1,162,1734,0.15,0.09
2017-18 | Regular Season,"Fortier, Maxime",F,N,"Halifax, Mooseheads",1997-12-15,61,32,33,10,75,65,0.11,0.12,265,1734,0.12,0.15
2017-18 | Regular Season,"Ford, Taylor",D,N,"Rouyn-Noranda, Huskies",1997-05-14,46,3,2,6,11,5,0.02,0.01,60,1734,0.05,0.03
2017-18 | Regular Season,"Moynihan, Connor",F,N,"Halifax, Mooseheads",1997-07-20,66,21,7,14,42,28,0.06,0.05,138,1734,0.15,0.08
2017-18 | Regular Season,"Holwell, Adam",D,N,"Acadie-Bathurst, Titan",1997-03-08,67,10,25,15,50,35,0.07,0.07,171,1734,0.06,0.1
2017-18 | Regular Season,"Bower, William",F,N,"Charlottetown, Islanders",1997-11-07,8,1,0,0,1,1,0,0,14,1734,0.07,0.01
2017-18 | Regular Season,"Olivier, Mathieu",F,N,"Sherbrooke, Phoenix",1997-02-11,67,27,13,9,49,40,0.08,0.09,223,1734,0.12,0.13
2017-18 | Regular Season,"Cormier, Lane",F,N,"Rouyn-Noranda, Huskies",1997-02-11,5,1,0,0,1,1,0,0,4,1734,0.25,0
2017-18 | Regular Season,"Lanoue, Vincent",D,N,"Victoriaville, Tigres",1997-08-17,66,7,13,27,47,20,0.06,0.04,127,1734,0.06,0.07
2017-18 | Regular Season,"Picco, Andrew",D,N,"Québec, Remparts",1997-04-02,56,1,3,6,10,4,0.02,0.01,37,1734,0.03,0.02
2017-18 | Regular Season,"Thompson, Will",D,N,"Gatineau, Olympiques",1997-07-02,60,2,16,8,26,18,0.04,0.04,102,1734,0.02,0.06
2017-18 | Regular Season,"Dove-McFalls, Samuel",F,N,"Rimouski, Océanic",1997-04-10,64,22,35,16,73,57,0.12,0.13,248,1734,0.09,0.14
2017-18 | Regular Season,"Webster, Bailey",D,N,"Saint John, Sea Dogs",1997-09-08,67,1,5,5,11,6,0.02,0.02,68,1734,0.01,0.04
2017-18 | Regular Season,"Phelan, James",F,N,"Moncton, Wildcats",1997-02-18,64,33,24,17,74,57,0.12,0.13,161,1734,0.2,0.09
2017-18 | Regular Season,"Welsh, Nicholas",D,N,"Moncton, Wildcats",1997-05-07,68,12,33,21,66,45,0.11,0.1,181,1734,0.07,0.1
2017-18 | Regular Season,"Harwell, Chase",F,N,"Victoriaville, Tigres",1997-01-11,67,21,8,15,44,29,0.06,0.06,176,1734,0.12,0.1
2017-18 | Regular Season,"Truchon-Viel, Jeffrey",F,N,"Acadie-Bathurst, Titan",1997-01-28,58,39,15,8,62,54,0.08,0.1,235,1734,0.17,0.14
2017-18 | Regular Season,"Henley, David",D,N,"Val-d'Or, Foreurs",1997-03-13,54,6,4,10,20,10,0.04,0.03,96,1734,0.06,0.06
2017-18 | Regular Season,"Galipeau, Olivier",D,N,"Acadie-Bathurst, Titan",1997-05-22,67,25,30,19,74,55,0.14,0.14,271,1734,0.09,0.16
2017-18 | Regular Season,"Fournier, Jordan Ty",F,N,"Cape Breton, Screaming Eagles",1997-04-04,67,17,9,7,33,26,0.05,0.06,179,1734,0.09,0.1
2017-18 | Regular Season,"Nadeau, Mathieu",F,N,"Rimouski, Océanic",1997-01-03,59,25,30,19,74,55,0.16,0.17,188,1734,0.13,0.11
2017-18 | Regular Season,"Maher, Jordan",F,N,"Acadie-Bathurst, Titan",1998-03-11,63,19,18,24,61,37,0.08,0.07,121,1734,0.16,0.07
2017-18 | Regular Season,"Francis, Elijah",D,N,"Acadie-Bathurst, Titan",1998-03-05,54,1,4,3,8,5,0.01,0.01,39,1734,0.03,0.02
2017-18 | Regular Season,"Boivin, Félix",D,N,"Victoriaville, Tigres",1998-03-11,68,10,8,11,29,18,0.04,0.03,153,1734,0.07,0.09
2017-18 | Regular Season,"Huntington, Jimmy",F,N,"Victoriaville, Tigres",1998-11-18,68,18,22,18,58,40,0.08,0.08,145,1734,0.12,0.08
2017-18 | Regular Season,"Beauchamp, Anthony",F,N,"Gatineau, Olympiques",1998-10-23,65,11,8,9,28,19,0.05,0.05,128,1734,0.09,0.07
2017-18 | Regular Season,"Chevrier, Simon",F,N,"Baie-Comeau, Drakkar",1997-05-19,58,5,9,12,26,14,0.04,0.03,91,1734,0.05,0.05
2017-18 | Regular Season,"Katerinakis, Alexander",F,N,"Blainville-Boisbriand, Armada",1998-04-25,51,13,18,9,40,31,0.06,0.06,97,1734,0.13,0.06
2017-18 | Regular Season,"Hylland, Tyler",F,N,"Cape Breton, Screaming Eagles",1998-04-21,57,12,11,5,28,23,0.04,0.05,102,1734,0.12,0.06
2017-18 | Regular Season,"Adams-Moisan, Morgan",F,N,"Drummondville, Voltigeurs",1997-02-06,68,32,22,7,61,54,0.08,0.1,180,1734,0.18,0.1
